CODIGO_CALLE,TIPO_VIA,NOMBRE_CALLE,PRIMER_NUM_TRAMO,ULTIMO_NUM_TRAMO,BARRIO,COD_DISTRITO,NOM_DISTRITO
55889,CL,PEZ LIMON ,2,32,JARAZMIN,2,ESTE
55890,CL,PEZ LUNA,1,29,JARAZMIN,2,ESTE
55890,CL,PEZ LUNA,2,28,JARAZMIN,2,ESTE
55892,CL,PEZ MARTILLO,1,15,JARAZMIN,2,ESTE
55892,CL,PEZ MARTILLO,2,18,JARAZMIN,2,ESTE
55894,CL,PEZ PLATA ,1,1,PEDREGALEJO PLAYA ,2,ESTE
55894,CL,PEZ PLATA ,2,2,BA�OS DEL CARMEN,2,ESTE
55916,PJE ,PEZUELA ,1,3,ARROYO DEL CUARTO ,6,CRUZ DE HUMILLADERO 
55916,PJE ,PEZUELA ,2,4,ARROYO DEL CUARTO ,6,CRUZ DE HUMILLADERO 
55930,CL,PIANO EL,1,7,OLIAS ,2,ESTE
55930,CL,PIANO EL,2,16,OLIAS ,2,ESTE
55944,CL,PICACHO ,1,9,LA VICTORIA ,1,CENTRO
55944,CL,PICACHO ,2,16,LA VICTORIA ,1,CENTRO
82509,DSMO,PICADERO LA ERMITA,1,1,DISEMINADO DM P DE LA TORRE ,10,PUERTO DE LA TORRE
81818,DSMO,PICADERO LOS CHOPOS ,1,3,LOS CHOPOS,9,CAMPANILLAS 
81818,DSMO,PICADERO LOS CHOPOS ,5,5,POL IND EL TARAJAL,8,CHURRIANA 
81818,DSMO,PICADERO LOS CHOPOS ,2,2,LOS CHOPOS,9,CAMPANILLAS 
81818,DSMO,PICADERO LOS CHOPOS ,4,4,POL IND EL TARAJAL,8,CHURRIANA 
81818,DSMO,PICADERO LOS CHOPOS ,6,6,LOS CHOPOS,9,CAMPANILLAS 
55972,CL,PICADOR ,1,5,CENTRO HISTORICO,1,CENTRO
55972,CL,PICADOR ,2,4,CENTRO HISTORICO,1,CENTRO
55986,CL,PICASSO GONZALEZ,1,7,POL IND EL ALAMO,8,CHURRIANA 
55986,CL,PICASSO GONZALEZ,2,4,POL IND EL ALAMO,8,CHURRIANA 
56000,PJE ,PICHON,1,9,EL TOMILLAR ,10,PUERTO DE LA TORRE
56000,PJE ,PICHON,2,8,EL TOMILLAR ,10,PUERTO DE LA TORRE
56014,CL,PICO DE LAS PALOMAS ,1,17,PARQUE MEDITERRANEO ,7,CARRETERA DE CADIZ
56014,CL,PICO DE LAS PALOMAS ,2,20,PARQUE MEDITERRANEO ,7,CARRETERA DE CADIZ
